year,days_published,newspaper_name,city,state,total_circulation,county,rucc,rucc_description,metro,latitude,longitude,state_full
2016,1,Lake Worth Herald Press,Lake Worth,Fla.,29200,Palm Beach,major,Metro - Counties in metro areas of 1 million population or more,1,26.6196,-80.0592,Florida
2016,6,Salem Evening News,Salem,Mass.,29200,Essex,major,Metro - Counties in metro areas of 1 million population or more,1,42.5158,-70.8544,Massachusetts
2016,1,South Chartlotte Weekly,Charlotte,N.C.,29181,Mecklenburg,major,Metro - Counties in metro areas of 1 million population or more,1,35.2271,-80.8431,North Carolina
2016,7,Reno Gazette-Journal,Reno,Nev.,29144,Washoe,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,39.4745,-119.777,Nevada
2016,1,Metro Courier,Augusta,Ga.,29010,Richmond,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,33.4735,-82.0105,Georgia
2016,7,Northeast Mississippi Daily Journal,Tupelo,Miss.,29001,Lee,rural,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",0,34.2637,-88.7298,Mississippi
2016,1,Mechanicsville Local,Mechanicsville,Va.,29000,Hanover,major,Metro - Counties in metro areas of 1 million population or more,1,37.6263,-77.3561,Virginia
2016,2,Southwest County Journal,Town and Country,Mo.,29000,St. Louis,major,Metro - Counties in metro areas of 1 million population or more,1,38.6123,-90.4635,Missouri
2016,1,Crave,Lawrence,Kan.,29000,Douglas,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,38.9599,-95.2627,Kansas
2016,7,Post-Crescent,Appleton,Wisc.,28993,Outagamie,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,44.2788,-88.3926,Wisconsin
2016,2,Lakeshore Chronicle,Manitowoc,Wisc.,28923,Manitowoc,rural,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",0,44.099,-87.6812,Wisconsin
2016,7,Billings Gazette,Billings,Mont.,28877,Yellowstone,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,45.7895,-108.55,Montana
2016,7,Tri-City Herald,Pasco,Wash.,28839,Franklin,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,46.2505,-119.133,Washington
2016,7,News-Gazette,Champaign,Ill.,28815,Champaign,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,40.1138,-88.2753,Illinois
2016,2,Federal Way Mirror,Federal Way,Wash.,28756,King,major,Metro - Counties in metro areas of 1 million population or more,1,47.3091,-122.336,Washington
2016,1,Federal Way News,Federal Way,Wash.,28756,King,major,Metro - Counties in metro areas of 1 million population or more,1,47.3223,-122.313,Washington
