days_published,newspaper_name,city,state,total_circulation,county,state_full
2,View Neighborhood Newspapers,Las Vegas,Nev.,600557,Clark,Nevada
7,Daily News,New York,N.Y.,599620,Kings,New York
7,Los Angeles Times,Los Angeles,Calif.,571403,Los Angeles,California
7,Washington Post,Washington,D.C.,480166,District of Columbia,District of Columbia
7,Newsday,Melville,N.Y.,460149,Suffolk,New York
7,Chicago Tribune,Chicago,Ill.,390517,Cook,Illinois
1,Midweek Wire,Trevose,Pa.,373116,Bucks,Pennsylvania
7,amNewYork,New York,N.Y.,335900,Kings,New York
7,Cleveland Plain Dealer The,Cleveland,Ohio,311605,Cuyahoga,Ohio
7,Star Tribune,Minneapolis,Minn.,300330,Hennepin,Minnesota
7,Arizona Republic,Phoenix,Ariz.,296934,Maricopa,Arizona
7,Denver Post,Denver,Colo.,285027,Denver,Colorado
2,Metro Community News,Cheektowaga,N.Y.,279152,Erie,New York
7,Las Vegas Review-Journal,Las Vegas,Nev.,266563,Clark,Nevada
1,Village Voice,New York,N.Y.,260000,Kings,New York
7,Philadelphia Inquirer,Philadelphia,Pa.,258560,Philadelphia,Pennsylvania
1,Midweek,Kaneohe,Hawaii,250000,Honolulu,Hawaii
7,Boston Globe The/ Boston Sunday Globe,Boston,Mass.,243986,Suffolk,Massachusetts
7,Houston Chronicle,Houston,Texas,239798,Harris,Texas
7,Dallas Morning News,Dallas,Texas,238960,Dallas,Texas
7,Tampa Bay Times,St Petersburg,Fla.,237624,Pinellas,Florida
7,St Paul Pioneer Press,St Paul,Minn.,235968,Ramsey,Minnesota
7,San Francisco Chronicle,San Francisco,Calif.,229176,San Francisco,California
7,Star-Ledger of Newark,Newark,N.J.,222794,Essex,New Jersey
7,Chicago Sun-Times/Sunday Sun-Times,Chicago,Ill.,209766,Cook,Illinois
1,La Voz de Houston,Houston,Texas,198856,Harris,Texas
7,Sacramento Bee,Sacramento,Calif.,196667,Sacramento,California
2,Suncoast News,Pinellas,Fla.,196303,Pinellas,Florida
7,Tribune-Review,Greensburg,Pa.,185996,Westmoreland,Pennsylvania
2,Reminder,Hartford,Conn.,181319,Hartford,Connecticut
5,Express,Washington,D.C.,174074,District of Columbia,District of Columbia
7,Orlando Sentinel,Orlando,Fla.,173542,Orange,Florida
7,Seattle Times,Seattle,Wash.,172434,King,Washington
7,Miami Herald,Miami,Fla.,166272,Miami-Dade,Florida
7,San Diego Union-Tribune,San Diego,Calif.,165204,San Diego,California
7,Orange County Register,Santa Ana,Calif.,160872,Orange,California
1,AdNet Community News,Canandaigua,N.Y.,160000,Madison,New York
1,LA Weekly,Culver City,Calif.,156816,Los Angeles,California
7,Record/ Sunday Record,Hackensack,N.J.,155236,Bergen,New Jersey
1,Best,Melbourne,Fla.,155000,Brevard,Florida
1,Ballston Journal,Ballston Spa,N.Y.,151000,Saratoga,New York
7,Pittsburgh Post-Gazette,Pittsburgh,Pa.,149586,Allegheny,Pennsylvania
2,Queens Tribune,Queens,N.Y.,149000,Queens,New York
1,Boston Phoenix,Boston,Mass.,145551,Suffolk,Massachusetts
1,Herald Newspapers,Cape May,N.J.,138904,Cape May,New Jersey
7,Herald News,Passaic,N.J.,138904,Passaic,New Jersey
1,Sun News,Valley View,Ohio,137284,Cuyahoga,Ohio
7,Arkansas Democrat-Gazette,Little Rock,Ark.,135267,Pulaski,Arkansas
7,Honolulu Star-Advertiser,Honolulu,Hawaii,135000,Honolulu,Hawaii
7,Buffalo News,Buffalo,N.Y.,132593,Erie,New York
1,Tennessee Tribune,Nashville,Tenn.,130998,Davidson,Tennessee
1,N'Digo,Chicago,Ill.,130000,Cook,Illinois
1,Community Reporter,Toms River,N.J.,129061,Ocean,New Jersey
7,Milwaukee Journal Sentinel,Milwaukee,Wisc.,128321,Milwaukee,Wisconsin
1,La Raza,Chicago,Ill.,127280,Cook,Illinois
1,Caribbean Life,Brooklyn,N.Y.,125000,Kings,New York
7,Press-Enterprise,Riverside,Calif.,124051,Riverside,California
1,La Estrella en Casa,Fort Worth,Texas,123150,Tarrant,Texas
7,Virginian-Pilot,Norfolk,Va.,121254,Norfolk city,Virginia
1,Chicago Weekend Citizen,Chicago,Ill.,121000,Cook,Illinois
7,Detroit Free Press,Detroit,Mich.,120433,Wayne,Michigan
1,Milwaukee Courier,Milwaukee,Wisc.,120000,Milwaukee,Wisconsin
7,Austin American-Statesman,Austin,Texas,118105,Travis,Texas
7,New York Post,New York,N.Y.,116097,Kings,New York
1,New York Press,New York,N.Y.,116000,New York,New York
1,Advisor & Source,Clinton Township,Mich.,115389,Allegan,Michigan
7,Fort Worth Star-Telegram,Fort Worth,Texas,115000,Tarrant,Texas
2,Hoy Los Angeles,Los Angeles,Calif.,114735,Los Angeles,California
3,Times-Picayune,New Orleans,La.,113625,Orleans Parish,Louisiana
1,San Diego Reader,San Diego,Calif.,112594,San Diego,California
1,City Pages,Minneapolis,Minn.,112025,Hennepin,Minnesota
1,Northeast Times,Philadelphia,Pa.,112000,Philadelphia,Pennsylvania
1,Metro Reporter,San Francisco,Calif.,111013,San Francisco,California
7,Portland Oregonian,Portland,Ore.,110530,Multnomah,Oregon
7,Daily Oklahoman,Oklahoma City,Okla.,107931,Oklahoma,Oklahoma
7,Charlotte Observer,Charlotte,N.C.,106796,Mecklenburg,North Carolina
3,Grand Rapids Press,Grand Rapids,Mich.,106650,Kent,Michigan
7,Indianapolis Star,Indianapolis,Ind.,106151,Marion,Indiana
7,Columbus Dispatch The,Columbus,Ohio,105917,Franklin,Ohio
7,Atlanta Journal-Constitution,Atlanta,Ga.,105653,Fulton,Georgia
1,Miami New Times,Miami,Fla.,105043,Miami-Dade,Florida
1,The Fairfax County Times,Fairfax,Va.,105000,Fairfax city,Virginia
7,Ocala StarBanner,Ocala,Fla.,104359,Marion,Florida
7,Des Moines Register The,Des Moines,Iowa,104099,Polk,Iowa
6,Lake County News-Sun The,Waukegan,Ill.,104000,Lake,Illinois
1,El Mensajero,San Francisco,Calif.,103800,San Francisco,California
7,Omaha World-Herald,Omaha,Neb.,103792,Douglas,Nebraska
6,Detroit News The,Detroit,Mich.,102065,Wayne,Michigan
6,San Francisco Examiner,San Francisco,Calif.,101200,San Francisco,California
1,Santa Monica Observer,Santa Monica,Calif.,100000,Los Angeles,California
1,Long Island Press,Syosset,N.Y.,100000,Nassau,New York
6,Hoy Chicago,Chicago,Ill.,100000,Cook,Illinois
1,Facts News,Seattle,Wash.,100000,King,Washington
7,Baltimore Sun The,Baltimore,Md.,99765,Baltimore city,Maryland
6,Philadelphia Daily News,Philadelphia,Pa.,97694,Philadelphia,Pennsylvania
7,Richmond Times-Dispatch,Richmond,Va.,97497,Richmond city,Virginia
1,Cypress Creek Mirror,Cypress,Texas,96000,Harris,Texas
7,Hartford Courant,Hartford,Conn.,95498,Hartford,Connecticut
7,News & Observer,Raleigh,N.C.,94918,Wake,North Carolina
7,Palm Beach Post,West Palm Beach,Fla.,94664,Palm Beach,Florida
1,Westword,Denver,Colo.,94632,Denver,Colorado
7,Los Angeles Daily News,Los Angeles,Calif.,94016,Los Angeles,California
7,Democrat & Chronicle,Rochester,N.Y.,93716,Monroe,New York
7,Fresno Bee,Fresno,Calif.,92928,Fresno,California
7,San Antonio Express-News,San Antonio,Texas,92837,Bexar,Texas
1,Los Angeles Sentinel,Los Angeles,Calif.,92200,Los Angeles,California
5,Metro Philadelphia,Philadelphia,Pa.,91010,Philadelphia,Pennsylvania
2,Mount Prospect Journal,Mount Prospect,Ill.,90996,Cook,Illinois
1,Chicago Crusader,Chicago,Ill.,90661,Cook,Illinois
1,Dallas Observer,Dallas,Texas,90200,Dallas,Texas
1,Northern Westchester Express,Westchester,N.Y.,89403,Westchester,New York
7,Courier-Journal,Louisville,Ky.,88469,Jefferson,Kentucky
1,Nuestra Gente,Ontario,Calif.,88000,San Bernardino,California
1,Weekender The,Bel Air,Md.,87000,Harford,Maryland
7,Times,Munster,Ind.,86841,Lake,Indiana
7,Cincinnati Enquirer,Cincinnati,Ohio,86345,Hamilton,Ohio
7,La Opinion,Los Angeles,Calif.,86000,Los Angeles,California
1,Houston Press,Houston,Texas,85000,Harris,Texas
7,Advocate/ Sunday Advocate,Baton Rouge,La.,84600,East Baton Rouge Parish,Louisiana
1,New York Beacon,New York,N.Y.,84472,New York,New York
1,News-Advertiser,Harlan,Iowa,84000,Shelby,Iowa
2,Osceola News-Gazette,Kissimmee,Fla.,83420,Osceola,Florida
7,Wisconsin State Journal/Capital Times,Madison,Wisc.,83349,Dane,Wisconsin
2,East Valley Tribune,Mesa,Ariz.,82880,Maricopa,Arizona
7,Press-Telegram,Long Beach,Calif.,82556,Los Angeles,California
1,Cleveland Free Times,Cleveland,Ohio,80190,Cuyahoga,Ohio
1,Phoenix New Times,Phoenix,Ariz.,80000,Maricopa,Arizona
1,Creative Loafing Atlanta,Atlanta,Ga.,80000,Fulton,Georgia
1,City Paper,Baltimore,Md.,80000,Baltimore city,Maryland
7,El Nuevo Herald,Miami,Fla.,78000,Miami-Dade,Florida
1,Metro Santa Cruz,Santa Cruz,Calif.,77715,Santa Cruz,California
1,Metro,San Jose,Calif.,77715,Santa Clara,California
7,Intelligencer Journal/Lancaster New Era,Lancaster,Pa.,77518,Lancaster,Pennsylvania
7,Sarasota Herald-Tribune,Sarasota,Fla.,77386,Sarasota,Florida
1,Oak Lawn Independent,Oak Lawn,Ill.,76700,Cook,Illinois
1,Twenty Four Seven Weekly,Royal Oak,Mich.,76253,Oakland,Michigan
1,Queens Courier,Queens,N.Y.,76000,Queens,New York
2,Durham News,Durham,N.C.,75594,Durham,North Carolina
7,Asbury Park Press,Neptune,N.J.,75380,Monmouth,New Jersey
7,Daily Breeze,Torrance,Calif.,75352,Los Angeles,California
7,Chattanooga Times Free Press,Chattanooga,Tenn.,75336,Hamilton,Tennessee
2,Midtown Raleigh News,Raleigh,N.C.,75189,Wake,North Carolina
1,Houston Metro Weekender,Houston,Texas,75000,Harris,Texas
1,Compton Bulletin,Compton,Calif.,75000,Los Angeles,California
1,Black News,Columbia,S.C.,75000,Richland,South Carolina
1,Philadelphia Public Record,Philadelphia,Pa.,75000,Philadelphia,Pennsylvania
2,Milwaukee Community Journal,Milwaukee,Wisc.,75000,Milwaukee,Wisconsin
7,Daily Herald,Arlington Heights,Ill.,74491,Cook,Illinois
7,Lexington Herald-Leader,Lexington,Ky.,74253,Fayette,Kentucky
7,Morning Call,Allentown,Pa.,74187,Lehigh,Pennsylvania
7,Blade,Toledo,Ohio,74073,Lucas,Ohio
1,West Valley View,Goodyear,Ariz.,74047,Maricopa,Arizona
2,North Raleigh News,Raleigh,N.C.,73782,Wake,North Carolina
7,Post-Standard The,Syracuse,N.Y.,72738,Onondaga,New York
3,Birmingham News The,Birmingham,Ala.,72333,Jefferson,Alabama
1,Austin Chronicle,Austin,Texas,71997,Travis,Texas
2,Heritage Sunday,Southgate,Mich.,71995,Wayne,Michigan
7,Tennessean,Nashville,Tenn.,71890,Davidson,Tennessee
1,Courier Journal,Florence,Ala.,71567,Lauderdale,Alabama
7,Providence Journal,Providence,R.I.,70914,Providence,Rhode Island
1,Chesterfield Observer,Richmond,Va.,70746,Richmond city,Virginia
7,Dayton Daily News,Dayton,Ohio,70744,Montgomery,Ohio
1,Source The,Macomb,Mich.,70163,Macomb,Michigan
1,Willamette Week,Portland,Ore.,70000,Multnomah,Oregon
7,Akron Beacon Journal,Akron,Ohio,69644,Summit,Ohio
1,Philadelphia Weekly,Philadelphia,Pa.,69423,Philadelphia,Pennsylvania
7,Albuquerque Journal,Albuquerque,N.M.,69057,Bernalillo,New Mexico
1,SF Weekly,San Francisco,Calif.,68883,San Francisco,California
7,Tulsa World,Tulsa,Okla.,68573,Tulsa,Oklahoma
1,Sacramento News & Review,Sacramento,Calif.,68541,Sacramento,California
7,York Daily Record/York Sunday News,York,Pa.,68059,York,Pennsylvania
1,Providence Phoenix,Providence,R.I.,68000,Providence,Rhode Island
1,Loudoun Times-Mirror,Leesburg,Va.,67681,Loudoun,Virginia
7,Florida Times-Union,Jacksonville,Fla.,67528,Duval,Florida
5,Washington Times,Washington,D.C.,67148,District of Columbia,District of Columbia
1,Washington Times National Weekly Edition,Washington,D.C.,67148,District of Columbia,District of Columbia
1,St Louis American,St Louis,Mo.,66408,St. Louis city,Missouri
7,Boston Herald,Boston,Mass.,65859,Suffolk,Massachusetts
1,Forward Times,Houston,Texas,64580,Harris,Texas
1,Beaverton Leader,Beaverton,Ore.,64397,Washington,Oregon
1,Philadelphia City Paper,Philadelphia,Pa.,64351,Philadelphia,Pennsylvania
1,OC Weekly,Costa Mesa,Calif.,64133,Orange,California
1,Suburban News/Village Gazette,Ridgwood,N.J.,63986,Bergen,New Jersey
1,Washington City Paper,Washington,D.C.,63829,District of Columbia,District of Columbia
1,Press-Tribune,Roseville,Calif.,62606,Placer,California
7,Commercial Appeal,Memphis,Tenn.,62098,Shelby,Tennessee
1,Pittsburgh City Paper,Pittsburgh,Pa.,61688,Allegheny,Pennsylvania
7,Post & Courier,Charleston,S.C.,61201,Charleston,South Carolina
1,Kent Reporter,Kent,Wash.,60422,King,Washington
7,Winston-Salem Journal,Winston-Salem,N.C.,60140,Forsyth,North Carolina
1,New American,Brooklyn,N.Y.,60137,Kings,New York
1,Dekalb Neighbor,Dunwoody,Ga.,60000,DeKalb,Georgia
1,Extra Community Newspaper,Chicago,Ill.,60000,Cook,Illinois
3,Forecaster The,Falmouth,Maine,60000,Cumberland,Maine
1,Minnesota Spokesman-Recorder,Minneapolis,Minn.,59800,Hennepin,Minnesota
1,Armada Times,Armada,Mich.,59500,Macomb,Michigan
2,Palisadian,New Milford,N.J.,59000,Bergen,New Jersey
7,Daytona Beach News-Journal The,Daytona Beach,Fla.,58867,Volusia,Florida
7,Daily Press,Newport News,Va.,58608,Newport News city,Virginia
1,Tomball-Magnolia Tribune,Tomball,Texas,58429,Harris,Texas
1,Webb Weekly,South Williamsport,Pa.,58339,Lycoming,Pennsylvania
3,Patriot-News,Harrisburg,Pa.,58078,Dauphin,Pennsylvania
1,Brandon News & Tribune,Tampa,Fla.,58000,Hillsborough,Florida
1,Brooklyn Journal,Brooklyn,N.Y.,58000,Kings,New York
1,Michigan Citizen,Detroit,Mich.,58000,Wayne,Michigan
1,Park Slope Paper-Windsor Terrace Edition,Brooklyn,N.Y.,57915,Kings,New York
7,Roanoke Times,Roanoke,Va.,57656,Roanoke city,Virginia
1,Lancaster Farming,Lancaster,Pa.,57057,Lancaster,Pennsylvania
1,Afro Times,Brooklyn,N.Y.,57004,Kings,New York
1,Shepherd Express Weekly News,Milwaukee,Wisc.,56856,Milwaukee,Wisconsin
7,San Bernardino Sun,San Bernardino,Calif.,56841,San Bernardino,California
7,Spokesman-Review The,Spokane,Wash.,56629,Spokane,Washington
1,South Philly Review,Philadelphia,Pa.,56585,Philadelphia,Pennsylvania
7,New York Daily Challenge,Brooklyn,N.Y.,56544,Kings,New York
3,Atlanta Inquirer,Atlanta,Ga.,56107,Fulton,Georgia
2,Cary News,Cary,N.C.,56003,Wake,North Carolina
2,Warren Weekly,Warren,Mich.,55775,Macomb,Michigan
1,Beach Reporter,Manhattan Beach,Calif.,55500,Los Angeles,California
1,Avenue News The,Essex,Md.,55423,Baltimore,Maryland
1,Riverfront Times,St Louis,Mo.,55297,St. Louis city,Missouri
1,Atlanta Voice,Atlanta,Ga.,55239,Fulton,Georgia
1,Chicago Independent Bulletin,Chicago,Ill.,55173,Cook,Illinois
1,Precinct Reporter,San Bernardino,Calif.,55000,San Bernardino,California
1,Washington Sun,Washington,D.C.,55000,District of Columbia,District of Columbia
1,Inquiring News,Bridgeport,Conn.,55000,Fairfield,Connecticut
7,South Bend Tribune,South Bend,Ind.,55000,St. Joseph,Indiana
1,Artvoice,Buffalo,N.Y.,55000,Erie,New York
1,Reporte Hispano,Princeton,N.J.,54900,Mercer,New Jersey
1,San Diego Suburban News,La Jolla,Calif.,54699,San Diego,California
7,News Tribune,Tacoma,Wash.,54000,Pierce,Washington
1,Post-Chronicle,New Haven,Conn.,53902,New Haven,Connecticut
1,Independent Weekly,Durham,N.C.,53806,Durham,North Carolina
7,Arizona Daily Star,Tucson,Ariz.,53755,Pima,Arizona
7,Journal Gazette,Fort Wayne,Ind.,53610,Allen,Indiana
1,Creative Loafing Tampa,Tampa,Fla.,53460,Hillsborough,Florida
1,Press Tribune,Cocoa,Fla.,53460,Brevard,Florida
1,Leesburg Today,Leesburg,Va.,53460,Loudoun,Virginia
2,Southwest Wake News,Apex,N.C.,53190,Wake,North Carolina
7,El Diario/La Prensa,Brooklyn,N.Y.,53000,Kings,New York
1,Suffolk County News,Sayville,N.Y.,53000,Suffolk,New York
3,Palo Alto Daily News,Palo Alto,Calif.,52849,Santa Clara,California
1,Palo Alto Weekly,Palo Alto,Calif.,52849,Santa Clara,California
1,Valley Breeze & Observer The,Smithfield,R.I.,52700,Providence,Rhode Island
1,Oklahoma Gazette,Oklahoma City,Okla.,52500,Oklahoma,Oklahoma
1,Spinal Column Newsweekly,Detroit,Mich.,52400,Wayne,Michigan
1,Collier Citizen,Golden Gate,Fla.,52118,Collier,Florida
1,Pacific Northwest Inlander,Spokane,Wash.,52000,Spokane,Washington
1,El Tiempo,Las Vegas,Nev.,51878,Clark,Nevada
7,News Journal/ Sunday News Journal,Wilmington,Del.,50636,New Castle,Delaware
1,St Louis Metro Evening Whirl,St Louis,Mo.,50500,St. Louis city,Missouri
2,News-Herald The,Southgate,Mich.,50339,Wayne,Michigan
1,Easy Reader,Hermosa Beach,Calif.,50200,Los Angeles,California
1,Florida Sentinel-Bulletin,Tampa,Fla.,50018,Hillsborough,Florida
7,El Paso Times,El Paso,Texas,50000,El Paso,Texas
1,East Bay Express,Oakland,Calif.,50000,Alameda,California
1,Sacramento Observer,Sacramento,Calif.,50000,Sacramento,California
1,Neighborhood Extra,Lincoln,Neb.,50000,Lancaster,Nebraska
1,El Sol News,Stamford,Conn.,50000,Fairfield,Connecticut
7,Inland Valley Daily Bulletin,Ontario,Calif.,49966,San Bernardino,California
1,Los Angeles Wave - West Edition,Los Angeles,Calif.,49900,Los Angeles,California
1,Our Town News,Coral Springs,Fla.,49896,Broward,Florida
7,Knoxville News-Sentinel,Knoxville,Tenn.,49431,Knox,Tennessee
7,Treasure Coast Palm,Vero Beach,Fla.,49353,Indian River,Florida
7,Albany Times-Union,Albany,N.Y.,49108,Albany,New York
1,North De Kalb Neighbor,Atlanta,Ga.,49005,Fulton,Georgia
1,Almanac,McMurray,Pa.,49005,Washington,Pennsylvania
7,Modesto Bee,Modesto,Calif.,48793,Stanislaus,California
1,Sun,Rossmoor,Calif.,48698,Orange,California
1,Courier News Weekly,Lansdale,Pa.,48666,Montgomery,Pennsylvania
1,Carrollwood News,Carrollwood,Fla.,48651,Hillsborough,Florida
7,Press-Register,Mobile,Ala.,48379,Mobile,Alabama
1,Hunterdon Observer,Hunterdon,N.J.,48256,Hunterdon,New Jersey
1,Independent,Livermore,Calif.,48000,Alameda,California
1,Salt Lake City Weekly,Salt Lake City,Utah,47717,Salt Lake,Utah
7,Salt Lake Tribune,Salt Lake City,Utah,47717,Salt Lake,Utah
1,Creative Loafing Charlotte,Charlotte,N.C.,47500,Mecklenburg,North Carolina
7,Forum,Fargo,N.D.,47500,Cass,North Dakota
2,Washington Missourian,Washington,Mo.,47232,Franklin,Missouri
1,El Paso y Míçs,El Paso,Texas,46949,El Paso,Texas
7,Wichita Eagle,Wichita,Kan.,46899,Sedgwick,Kansas
7,Reading Eagle,Reading,Pa.,46856,Berks,Pennsylvania
1,High Plains Journal,Dodge City,Kan.,46814,Ford,Kansas
7,News & Record,Greensboro,N.C.,46549,Guilford,North Carolina
7,Macon Telegraph,Macon,Ga.,46345,Bibb,Georgia
7,Charleston Gazette,Charleston,W.Va.,46104,Kanawha,West Virginia
5,Washington County Daily News,West Bend,Wisc.,46006,Washington,Wisconsin
1,Sugar Land Sun,Sugar Land,Texas,46000,Fort Bend,Texas
7,Herald,Everett,Wash.,45883,Snohomish,Washington
7,Villages Daily Sun,Lady Lake,Fla.,45672,Lake,Florida
7,Journal News,White Plains,N.Y.,45597,Westchester,New York
2,ReminderThe,East Longmeadow,Mass.,45441,Hampden,Massachusetts
1,Today's Pulse,Liberty Township,Ohio,45400,Butler,Ohio
1,Observer News,Ruskin,Fla.,45220,Hillsborough,Florida
2,Plano Star Courier,Plano,Texas,45143,Collin,Texas
1,Seattle Weekly,Seattle,Wash.,45066,King,Washington
1,Memphis Flyer,Memphis,Tenn.,45019,Shelby,Tennessee
1,South Tampa News & Tribune,Tampa,Fla.,45014,Hillsborough,Florida
1,Yes! Weekly,Greensboro,N.C.,45000,Guilford,North Carolina
2,Cedar Valley Times,Vinton,Iowa,44971,Benton,Iowa
7,State,Columbia,S.C.,44719,Richland,South Carolina
2,Irvine World News,Irvine,Calif.,44699,Orange,California
1,Beacon,Manahawkin,N.J.,44550,Ocean,New Jersey
1,Portland Phoenix,Portland,Maine,44500,Cumberland,Maine
7,Press of Atlantic City,Atlantic City,N.J.,44473,Atlantic,New Jersey
1,Keller Citizen,Keller,Texas,44322,Tarrant,Texas
2,Chapel Hill News,Chapel Hill,N.C.,44235,Orange,North Carolina
1,Woodlands Villager,Woodlands,Texas,44200,Montgomery,Texas
1,Wellington Forum,Wellington,Fla.,44000,Palm Beach,Florida
1,Gary Crusader,Gary,Ind.,44000,Lake,Indiana
7,Register-Guard,Eugene,Ore.,43828,Lane,Oregon
7,Green Bay Press-Gazette,Green Bay,Wisc.,43824,Brown,Wisconsin
1,Explorer,Tucson,Ariz.,43749,Pima,Arizona
1,Jacksonville Free Press,Jacksonville,Fla.,43500,Duval,Florida
1,News and Farmer/ Jefferson Reporter,Jefferson,Ga.,43500,Jackson,Georgia
7,Naples Daily News,Naples,Fla.,43267,Collier,Florida
7,Worcester Telegram & Gazette,Worcester,Mass.,43250,Worcester,Massachusetts
1,Chino Hills Champion,Chino,Calif.,43168,San Bernardino,California
1,Cadence The,Ada,Mich.,43158,Kent,Michigan
1,Sonoran News,Cave Creek,Ariz.,43062,Maricopa,Arizona
1,Nashville Scene,Nashville,Tenn.,43033,Davidson,Tennessee
2,Bonita Banner,Bonita Springs,Fla.,43000,Lee,Florida
7,Las Vegas Sun,Las Vegas,Nev.,43000,Clark,Nevada
7,Repository The,Canton,Ohio,42968,Stark,Ohio
7,Lincoln Journal Star,Lincoln,Neb.,42940,Lancaster,Nebraska
1,Stone County Leader,Mountain View,Ark.,42849,Stone,Arkansas
1,Isthmus,Madison,Wisc.,42768,Dane,Wisconsin
1,Pitch,Kansas City,Mo.,42500,Jackson,Missouri
1,Chester Progressive,Chester,Calif.,42258,Plumas,California
1,Nashville Pride,Nashville,Tenn.,42000,Davidson,Tennessee
1,Herald/Country Market,Bourbonnais,Ill.,42000,Kankakee,Illinois
1,New Monitor,Detroit,Mich.,41877,Wayne,Michigan
1,Grand Traverse Insider,Traverse City,Mich.,41875,Grand Traverse,Michigan
7,Press Democrat,Santa Rosa,Calif.,41534,Sonoma,California
1,Barberton Herald,Barberton,Ohio,41418,Summit,Ohio
1,Leader The,Lyndhurst,N.J.,41408,Bergen,New Jersey
4,Flint Journal,Flint,Mich.,41385,Genesee,Michigan
7,Daily Camera/ Sunday Camera,Boulder,Colo.,41324,Boulder,Colorado
1,Gaming Today,Las Vegas,Nev.,41293,Clark,Nevada
2,Denison Bulletin,Denison,Iowa,41150,Crawford,Iowa
1,Chico News & Review,Chico,Calif.,41113,Butte,California
1,Weekender,Wilkes-Barre,Pa.,41000,Luzerne,Pennsylvania
1,Independent Press,Bloomfield,N.J.,40740,Essex,New Jersey
2,Los Gatos Weekly Times,Los Gatos,Calif.,40640,Santa Clara,California
1,Webster-Kirkwood Times,Webster Groves,Mo.,40503,St. Louis,Missouri
2,Smithfield Herald,Smithfield,N.C.,40438,Johnston,North Carolina
1,New Milford Spectrum,New Milford,Conn.,40369,Litchfield,Connecticut
1,Hippo,Manchester,N.H.,40358,Hillsborough,New Hampshire
1,Granite City Press-Record Journal,Granite City,Ill.,40335,Madison,Illinois
1,Alive,Columbus,Ohio,40303,Franklin,Ohio
2,Log Newspaper,Irvine,Calif.,40265,Orange,California
1,Community News,St Louis,Mo.,40095,St. Louis city,Missouri
1,Roswell Neighbor,Alpharetta,Ga.,40024,Fulton,Georgia
7,New Haven Register,New Haven,Conn.,40016,New Haven,Connecticut
1,Charleston City Paper,Charleston,S.C.,40000,Charleston,South Carolina
1,Good Times Santa Cruz,Santa Cruz,Calif.,40000,Santa Cruz,California
1,Boston's Weekly Dig,Boston,Mass.,40000,Suffolk,Massachusetts
1,North Shore Sunday,Beverly,Mass.,40000,Essex,Massachusetts
1,Metroland,Albany,N.Y.,40000,Albany,New York
1,Beverly Hills Weekly,Beverly Hills,Calif.,39975,Los Angeles,California
1,Northwest Advance,Walker,Mich.,39931,Kent,Michigan
2,Walworth County Sunday,Delavan,Wisc.,39859,Walworth,Wisconsin
1,Enterprise,Plainfield,Ill.,39700,Will,Illinois
5,Lake Sun Leader,Camdenton,Mo.,39612,Camden,Missouri
1,Rochester Post,Rochester,Mich.,39402,Oakland,Michigan
1,Budgeteer News,Duluth,Minn.,39294,St. Louis,Minnesota
7,Spartanburg Herald-Journal,Spartanburg,S.C.,39125,Spartanburg,South Carolina
7,Journal Star,Peoria,Ill.,39074,Peoria,Illinois
7,Macomb Daily The,Clinton Township,Mich.,39070,Macomb,Michigan
1,Grunion Gazette,Long Beach,Calif.,39017,Los Angeles,California
1,South Lake Press,Clermont,Fla.,39006,Lake,Florida
1,Richmond Voice,Richmond,Va.,39000,Richmond city,Virginia
1,Santa Barbara Independent,Santa Barbara,Calif.,38937,Santa Barbara,California
1,News Transcript,Freehold,N.J.,38930,Monmouth,New Jersey
7,Republican,Springfield,Mass.,38908,Hampden,Massachusetts
1,Astoria Times,Queens,N.Y.,38892,Queens,New York
7,Deseret News,West Valley City,Utah,38869,Salt Lake,Utah
1,California Voice,San Francisco,Calif.,38840,San Francisco,California
7,Gazette,Cedar Rapids,Iowa,38504,Linn,Iowa
1,Greenville Journal,Greenville,S.C.,38412,Greenville,South Carolina
1,Farmington Press,Farmington,Mich.,38251,Oakland,Michigan
1,Metro Times,Detroit,Mich.,38233,Wayne,Michigan
1,East Cobb Neighbor,Marietta,Ga.,38225,Cobb,Georgia
1,Toledo City Paper,Toledo,Ohio,38029,Lucas,Ohio
1,Rancho Bernardo News-Journal,Rancho Bernardo,Calif.,38028,San Diego,California
1,Gambit Weekly,New Orleans,La.,37971,Orleans Parish,Louisiana
7,Press Herald/ Maine Sunday Telegram,Portland,Maine,37956,Cumberland,Maine
7,Greenville News,Greenville,S.C.,37918,Greenville,South Carolina
1,Fort Worth Weekly,Fort Worth,Texas,37863,Tarrant,Texas
7,Fayetteville Observer,Fayetteville,N.C.,37858,Cumberland,North Carolina
1,New American Press,Pensacola,Fla.,37705,Escambia,Florida
1,Grand Valley Advance,Grandville,Mich.,37667,Kent,Michigan
1,Los Angeles Downtown News,Los Angeles,Calif.,37615,Los Angeles,California
7,Vindicator,Youngstown,Ohio,37587,Mahoning,Ohio
7,Times Herald-Record The,Middletown,N.Y.,37540,Orange,New York
7,Staten Island Advance,Staten Island,N.Y.,37517,Richmond,New York
1,Pensacola Voice,Pensacola,Fla.,37500,Escambia,Florida
1,Colorado Springs Independent,Colorado Springs,Colo.,37500,El Paso,Colorado
7,Times-Tribune,Scranton,Pa.,37329,Lackawanna,Pennsylvania
1,South County Edition,St Louis,Mo.,37169,Moniteau,Missouri
7,Gazette,Colorado Springs,Colo.,37122,El Paso,Colorado
1,County Star,Champaign,Ill.,37103,Champaign,Illinois
