days_published,newspaper_name,city,state,total_circulation,county,state_full
5,Perry Daily Journal,Perry,Okla.,3250,Noble,Oklahoma
2,Radford News Journal,Radford,Va.,3250,Radford city,Virginia
1,Ark,Tiburon,Calif.,3250,Marin,California
1,Van Buren Register,Keosauqua,Iowa,3250,Van Buren,Iowa
1,Brookhaven Review,Brookhaven,N.Y.,3250,Suffolk,New York
1,Pope County Tribune,Glenwood,Minn.,3250,Pope,Minnesota
1,Enterprise Bulletin,Perham,Minn.,3250,Otter Tail,Minnesota
1,Kaufman Herald,Kaufman,Texas,3249,Kaufman,Texas
1,Roane County Reporter,Spencer,W.Va.,3245,Roane,West Virginia
1,Nemaha County Herald,Auburn,Neb.,3245,Nemaha,Nebraska
1,Bristow News,Bristow,Okla.,3244,Creek,Oklahoma
2,Bay City Tribune,Bay City,Texas,3237,Matagorda,Texas
2,Edmond Sun The,Edmond,Okla.,3237,Oklahoma,Oklahoma
1,Walsh County Record,Grafton,N.D.,3236,Walsh,North Dakota
1,Blanco County News,Blanco,Texas,3235,Blanco,Texas
2,Andrews County News,Andrews,Texas,3235,Andrews,Texas
1,Sakonnet Times,Tiverton,R.I.,3229,Newport,Rhode Island
1,North Penn Life,Montgomeryville,Pa.,3226,Montgomery,Pennsylvania
2,Storm Lake Times,Storm Lake,Iowa,3225,Buena Vista,Iowa
1,Sharon Advocate,Sharon,Mass.,3223,Norfolk,Massachusetts
1,Chillicothe Times-Bulletin,Chillicothe,Ill.,3220,Peoria,Illinois
1,Calais Advertiser,Calais,Maine,3215,Washington,Maine
5,Ennis Daily News,Ennis,Texas,3214,Ellis,Texas
1,Franklin Chronicle,Franklin,Ohio,3214,Warren,Ohio
1,Novi News,Novi,Mich.,3213,Oakland,Michigan
1,Franklin Advocate,Meadville,Miss.,3212,Franklin,Mississippi
1,Catahoula News Booster,Jonesville,La.,3210,Catahoula Parish,Louisiana
1,Countryside Suburban Life,Countryside,Ill.,3209,Cook,Illinois
1,Tri-City Reporter,Dyer,Tenn.,3203,Gibson,Tennessee
6,Telegraph-Forum,Bucyrus,Ohio,3203,Crawford,Ohio
1,Inkster Ledger Star,Inkster,Mich.,3203,Wayne,Michigan
1,Herald-Times,Yoakum,Texas,3200,Lavaca,Texas
1,Hamilton Herald-News,Hamilton,Texas,3200,Hamilton,Texas
1,Metter Advertiser,Metter,Ga.,3200,Candler,Georgia
1,Newton County Appeal The,Union,Miss.,3200,Newton,Mississippi
1,Homer Guardian-Journal,Homer,La.,3200,Claiborne Parish,Louisiana
1,Advance-Monticellonian,Monticello,Ark.,3200,Drew,Arkansas
1,Tabor-Loris Tribune,Tabor City,N.C.,3200,Columbus,North Carolina
1,Marshall Mountain Wave,Marshall,Ark.,3200,Searcy,Arkansas
1,Clay City Times,Stanton,Ky.,3200,Powell,Kentucky
1,News-Herald,Owenton,Ky.,3200,Owen,Kentucky
5,Clay Center Dispatch,Clay Center,Kan.,3200,Clay,Kansas
1,Massapequa Post,Massapequa,N.Y.,3200,Nassau,New York
1,Warren Weekly,Warren,Ind.,3200,Huntington,Indiana
1,Beacon The,Babylon,N.Y.,3200,Suffolk,New York
5,Pontiac Daily Leader,Pontiac,Ill.,3200,Livingston,Illinois
1,Osceola Sentinel-Tribune,Osceola,Iowa,3200,Clarke,Iowa
1,Schuyler Sun,Schuyler,Neb.,3200,Colfax,Nebraska
1,Green River Star,Green River,Wyo.,3200,Sweetwater,Wyoming
1,Marshfield Mariner,Marshfield,Mass.,3200,Plymouth,Massachusetts
1,Alcona County Review,Harrisville,Mich.,3200,Alcona,Michigan
1,Cadott Sentinel The,Cadott,Wisc.,3200,Chippewa,Wisconsin
1,Cornell & Lake Holcombe Courier,Cornell,Wisc.,3200,Chippewa,Wisconsin
1,Reporter and Farmer,Webster,S.D.,3200,Day,South Dakota
1,Mobridge Tribune,Mobridge,S.D.,3200,Walworth,South Dakota
1,Goldendale Sentinel,Goldendale,Wash.,3200,Klickitat,Washington
1,Louisiana Press-Journal,Louisiana,Mo.,3196,Pike,Missouri
1,Halletsville Tribune-Herald,Hallettsville,Texas,3192,Lavaca,Texas
1,Huntington Herald,Shelton,Conn.,3192,Fairfield,Connecticut
1,Roseau Times-Region,Roseau,Minn.,3191,Roseau,Minnesota
1,Progress The,Three Rivers,Texas,3186,Live Oak,Texas
6,Fort Morgan Times,Fort Morgan,Colo.,3186,Morgan,Colorado
1,Duxbury Reporter,Duxbury,Mass.,3186,Plymouth,Massachusetts
1,Danvers Herald,Danvers,Mass.,3184,Essex,Massachusetts
1,Mebane Enterprise,Mebane,N.C.,3181,Alamance,North Carolina
1,Marietta Monitor,Marietta,Okla.,3180,Adair,Oklahoma
1,Emmons County Record,Linton,N.D.,3175,Emmons,North Dakota
1,Village Reporter,Edon,Ohio,3169,Williams,Ohio
2,Advocate Press,Flora,Ill.,3166,Clay,Illinois
2,Brownfield News,Brownfield,Texas,3160,Terry,Texas
5,Daily Review Atlas,Monmouth,Ill.,3159,Warren,Illinois
1,Greene County Herald,Leakesville,Miss.,3152,Greene,Mississippi
2,Atlanta Citizens Journal,Atlanta,Texas,3151,Cass,Texas
1,St Bernard Voice,Arabi,La.,3150,St. Bernard Parish,Louisiana
1,Salina Sun,Salina,Utah,3150,Sevier,Utah
1,Herald Journal,Winsted,Minn.,3150,McLeod,Minnesota
5,Miles City Star,Miles City,Mont.,3150,Custer,Montana
1,South Schuylkill News,Schuylkill Haven,Pa.,3148,Schuylkill,Pennsylvania
1,Macon Beacon,Macon,Miss.,3140,Noxubee,Mississippi
1,Milan Standard,Milan,Mo.,3140,Sullivan,Missouri
1,Black Mountain News,Black Mountain,N.C.,3135,Buncombe,North Carolina
2,Carroll County News,Berryville,Ark.,3134,Carroll,Arkansas
1,Pittsburg Gazette,Pittsburg,Texas,3133,Camp,Texas
1,Preston Citizen,Preston,Idaho,3130,Franklin,Idaho
1,Lee County Observer,Bishopville,S.C.,3125,Lee,South Carolina
1,Bowling Green Times,Bowling Green,Mo.,3125,Pike,Missouri
1,Pataskala Standard,Pataskala,Ohio,3125,Licking,Ohio
2,Chariton Herald-Patriot,Chariton,Iowa,3119,Lucas,Iowa
1,Bracken County News,Brooksville,Ky.,3114,Bracken,Kentucky
1,South Hills Record,Pittsburgh,Pa.,3114,Allegheny,Pennsylvania
1,Darien News,Darien,Ga.,3112,McIntosh,Georgia
1,Hinton News,Hinton,W.Va.,3112,Summers,West Virginia
1,Free Press,Edinburg,Va.,3112,Shenandoah,Virginia
1,Bridgeville Area News,Bridgeville,Pa.,3112,Allegheny,Pennsylvania
5,Fort Payne Times-Journal,Fort Payne,Ala.,3111,DeKalb,Alabama
7,Coshocton Tribune,Coshocton,Ohio,3111,Coshocton,Ohio
2,Journal,International Falls,Minn.,3109,Koochiching,Minnesota
3,Alice Echo-News Journal,Alice,Texas,3107,Jim Wells,Texas
5,Daily Reporter,Milwaukee,Wisc.,3105,Milwaukee,Wisconsin
1,Dorchester Eagle-Record,St George,S.C.,3104,Dorchester,South Carolina
1,Reedley Exponent,Reedley,Calif.,3104,Fresno,California
1,Wabasha County Herald,Wabasha,Minn.,3104,Wabasha,Minnesota
1,Nueces County Record-Star,Corpus Christi,Texas,3100,Nueces,Texas
1,Charlton County Herald,Folkston,Ga.,3100,Charlton,Georgia
1,Wiregrass Farmer,Ashburn,Ga.,3100,Turner,Georgia
1,Dumas Clarion,Dumas,Ark.,3100,Desha,Arkansas
1,De Queen Bee,De Queen,Ark.,3100,Sevier,Arkansas
1,Commerce News,Commerce,Ga.,3100,Jackson,Georgia
1,Cherryvale Chronicle,Cherryvale,Kan.,3100,Montgomery,Kansas
1,Amityville Record,Amityville,N.Y.,3100,Suffolk,New York
1,Weehawken ReporterThe,Weehawken,N.J.,3100,Hudson,New Jersey
1,Tribune Record-Gleaner,Loyal,Wisc.,3100,Clark,Wisconsin
1,Tribune-Phonograph,Abbotsford,Wisc.,3100,Marathon,Wisconsin
1,Ark Valley News,Valley Center,Kan.,3093,Sedgwick,Kansas
1,Valley Times-Star,Newville,Pa.,3092,Cumberland,Pennsylvania
2,Bastrop Advertiser,Bastrop,Texas,3091,Bastrop,Texas
1,Fordyce News-Advocate,Fordyce,Ark.,3091,Dallas,Arkansas
3,Pilot Tribune,Storm Lake,Iowa,3085,Buena Vista,Iowa
1,Rains County Leader,Emory,Texas,3079,Rains,Texas
1,Benton Review,Fowler,Ind.,3076,Benton,Indiana
1,County Courier,Enosburg Falls,Vt.,3076,Franklin,Vermont
1,Clewiston News,Clewiston,Fla.,3073,Hendry,Florida
1,Red Oak Express,Red Oak,Iowa,3073,Montgomery,Iowa
1,Ashley County Ledger,Hamburg,Ark.,3072,Ashley,Arkansas
2,Lake Wales News,Lake Wales,Fla.,3065,Polk,Florida
1,Wood County Democrat,Quitman,Texas,3065,Wood,Texas
2,Ruidoso News,Ruidoso,N.M.,3065,Lincoln,New Mexico
1,Bonita Springs Florida Weekly,Bonita Springs,Fla.,3061,Lee,Florida
1,Messenger-Press The,Allentown,N.J.,3058,Monmouth,New Jersey
1,Big Bug News,Prescott Valley,Ariz.,3057,Yavapai,Arizona
1,Westborough News,Westborough,Mass.,3056,Worcester,Massachusetts
1,Burns Times-Herald,Burns,Ore.,3054,Harney,Oregon
1,Record-Transcript,Union,N.J.,3053,Union,New Jersey
1,Evanston Review,Evanston,Ill.,3051,Cook,Illinois
1,Westside Eagle Observer,Gravette,Ark.,3050,Benton,Arkansas
1,Portland Leader,Portland,Tenn.,3050,Sumner,Tennessee
1,Ozark County Times,Gainesville,Mo.,3050,Ozark,Missouri
1,Waukon Standard,Waukon,Iowa,3050,Allamakee,Iowa
1,Dead Mountain Echo,Oakridge,Ore.,3050,Lane,Oregon
1,Freestone County Times,Fairfield,Texas,3048,Freestone,Texas
1,Johnston County Capital-Democrat,Tishomingo,Okla.,3048,Johnston,Oklahoma
1,Bartlett Express,Bartlett,Tenn.,3045,Shelby,Tennessee
6,Three Rivers Commercial-News,Three Rivers,Mich.,3043,St. Joseph,Michigan
1,Machias Valley News Observer,Machias,Maine,3041,Washington,Maine
1,Sunbury News,Sunbury,Ohio,3040,Delaware,Ohio
1,Petersburg Observer,Petersburg,Ill.,3039,Menard,Illinois
1,Worth Citizen,Worth,Ill.,3039,Cook,Illinois
1,Whitesboro News-Record,Whitesboro,Texas,3038,Grayson,Texas
1,Miamisburg News,Miamisburg,Ohio,3037,Montgomery,Ohio
1,Methow Valley News,Twisp,Wash.,3035,Okanogan,Washington
